Time(s),Extension(mm),Load(N),Flexure stress(MPa),Flexure strain (Extension)(mm/mm)
93.80000,8.01485,425.81192,353.59860,0.01293
93.90000,8.02321,426.25711,353.96829,0.01294
94.00000,8.03155,426.01520,353.76740,0.01295
94.10000,8.03988,426.91205,354.51215,0.01297
94.20000,8.04822,427.38461,354.90457,0.01298
94.30000,8.05652,427.46024,354.96738,0.01299
94.40000,8.06476,427.82190,355.26770,0.01301
94.50000,8.07312,428.35989,355.71448,0.01302
94.60000,8.08151,428.72208,356.01523,0.01303
94.70000,8.08983,429.18289,356.39789,0.01305
94.80000,8.09820,429.65390,356.78903,0.01306
94.90000,8.10655,429.72464,356.84778,0.01307
95.00000,8.11489,430.44806,357.44849,0.01309
95.10000,8.12319,430.52704,357.51410,0.01310
95.20000,8.13152,430.93393,357.85196,0.01311
95.30000,8.13980,431.56522,358.37619,0.01313
95.40000,8.14817,431.82773,358.59418,0.01314
95.50000,8.15646,432.35095,359.02869,0.01315
95.60000,8.16480,432.51562,359.16544,0.01317
95.70000,8.17325,433.05109,359.61008,0.01318
95.80000,8.18155,433.37506,359.87912,0.01320
95.90000,8.18985,433.74448,360.18588,0.01321
96.00000,8.19815,433.99313,360.39236,0.01322
96.10000,8.20649,434.59659,360.89349,0.01324
96.20000,8.21484,434.90750,361.15167,0.01325
96.30000,8.22313,435.01135,361.23792,0.01326
96.40000,8.23146,435.65826,361.77512,0.01328
96.50000,8.23985,436.04730,362.09818,0.01329
96.60000,8.24823,436.35611,362.35461,0.01330
96.70000,8.25653,436.72070,362.65738,0.01332
96.80000,8.26485,437.16156,363.02347,0.01333
96.90000,8.27318,437.58951,363.37885,0.01334
97.00000,8.28150,438.13522,363.83200,0.01336
97.10000,8.28980,438.36401,364.02200,0.01337
97.20000,8.29818,438.50009,364.13498,0.01338
97.30000,8.30650,439.02417,364.57019,0.01340
97.40000,8.31485,439.07443,364.61194,0.01341
97.50000,8.32322,439.80783,365.22095,0.01342
97.60000,8.33152,439.93689,365.32812,0.01344
97.70000,8.33986,440.57956,365.86182,0.01345
97.80000,8.34818,440.90530,366.13229,0.01346
97.90000,8.35643,441.29236,366.45370,0.01348
98.00000,8.36481,441.72888,366.81622,0.01349
98.10000,8.37321,442.08716,367.11374,0.01350
98.20000,8.38151,442.44235,367.40869,0.01352
98.30000,8.38985,442.64828,367.57968,0.01353
98.40000,8.39817,442.92221,367.80716,0.01354
98.50000,8.40654,443.21567,368.05084,0.01356
98.60000,8.41488,443.80072,368.53668,0.01357
98.70000,8.42310,444.57074,369.17612,0.01358
98.80000,8.43146,444.55276,369.16119,0.01360
98.90000,8.43984,444.90390,369.45279,0.01361
99.00000,8.44817,445.38101,369.84897,0.01363
99.10000,8.45652,445.70975,370.12195,0.01364
99.20000,8.46487,446.03571,370.39264,0.01365
99.30000,8.47320,446.42987,370.71997,0.01367
99.40000,8.48151,446.72403,370.96423,0.01368
99.50000,8.48982,447.27341,371.42044,0.01369
99.60000,8.49813,447.48645,371.59735,0.01371
99.70000,8.50652,447.96271,371.99286,0.01372
99.80000,8.51477,448.48532,372.42682,0.01373
99.90000,8.52317,448.71399,372.61673,0.01375
100.00000,8.53159,449.16473,372.99103,0.01376
100.10000,8.53985,449.74847,373.47577,0.01377
100.20000,8.54821,449.70660,373.44098,0.01379
100.30000,8.55650,450.18903,373.84161,0.01380
100.40000,8.56479,450.62064,374.20001,0.01381
100.50000,8.57319,451.00992,374.52328,0.01383
100.60000,8.58148,451.19647,374.67819,0.01384
100.70000,8.58977,451.57254,374.99048,0.01385
100.80000,8.59822,452.16516,375.48260,0.01387
100.90000,8.60657,452.44171,375.71225,0.01388
101.00000,8.61489,452.88843,376.08322,0.01389
101.10000,8.62321,453.19547,376.33817,0.01391
101.20000,8.63147,453.57571,376.65393,0.01392
101.30000,8.63983,453.94525,376.96082,0.01393
101.40000,8.64815,454.16919,377.14676,0.01395
101.50000,8.65641,454.64893,377.54514,0.01396
101.60000,8.66483,455.24881,378.04330,0.01397
101.70000,8.67322,455.63202,378.36151,0.01399
101.80000,8.68155,455.77991,378.48431,0.01400
101.90000,8.68990,456.31305,378.92706,0.01402
102.00000,8.69826,456.55322,379.12650,0.01403
102.10000,8.70648,457.16583,379.63522,0.01404
102.20000,8.71478,457.39929,379.82907,0.01406
102.30000,8.72311,457.54651,379.95132,0.01407
102.40000,8.73146,458.20563,380.49866,0.01408
102.50000,8.73985,458.45380,380.70474,0.01410
102.60000,8.74819,458.98645,381.14706,0.01411
102.70000,8.75652,459.16943,381.29901,0.01412
102.80000,8.76490,459.56171,381.62479,0.01414
102.90000,8.77324,459.92844,381.92932,0.01415
103.00000,8.78144,460.06683,382.04425,0.01416
103.10000,8.78977,460.72699,382.59244,0.01418
103.20000,8.79815,460.78156,382.63776,0.01419
103.30000,8.80648,461.30075,383.06888,0.01420
103.40000,8.81486,461.97516,383.62894,0.01422
103.50000,8.82321,461.97498,383.62878,0.01423
103.60000,8.83156,462.53955,384.09760,0.01424
103.70000,8.83991,462.80710,384.31979,0.01426
103.80000,8.84819,463.26807,384.70258,0.01427
103.90000,8.85648,463.65161,385.02106,0.01428
104.00000,8.86483,463.93185,385.25378,0.01430
104.10000,8.87312,464.35376,385.60416,0.01431
104.20000,8.88145,464.74622,385.93005,0.01432
104.30000,8.88985,465.20544,386.31140,0.01434
104.40000,8.89822,465.69391,386.71701,0.01435
104.50000,8.90655,465.58994,386.63068,0.01436
104.60000,8.91486,465.99332,386.96564,0.01438
104.70000,8.92318,466.44958,387.34454,0.01439
104.80000,8.93152,466.76868,387.60953,0.01440
104.90000,8.93983,467.37988,388.11707,0.01442
105.00000,8.94809,467.70581,388.38773,0.01443
105.10000,8.95645,467.71954,388.39914,0.01444
105.20000,8.96488,468.42581,388.98563,0.01446
105.30000,8.97321,469.10544,389.54999,0.01447
105.40000,8.98153,469.12958,389.57004,0.01449
105.50000,8.98985,469.68710,390.03302,0.01450
105.60000,8.99820,469.83151,390.15292,0.01451
105.70000,9.00650,469.99020,390.28470,0.01453
105.80000,9.01481,470.50742,390.71420,0.01454
105.90000,9.02314,471.09256,391.20010,0.01455
106.00000,9.03152,471.29459,391.36789,0.01457
106.10000,9.03982,471.64316,391.65735,0.01458
106.20000,9.04820,471.94901,391.91132,0.01459
106.30000,9.05658,472.61945,392.46805,0.01461
106.40000,9.06482,472.85916,392.66711,0.01462
106.50000,9.07316,473.15692,392.91437,0.01463
106.60000,9.08150,473.24924,392.99103,0.01465
106.70000,9.08980,473.87415,393.50998,0.01466
106.80000,9.09820,473.97342,393.59241,0.01467
106.90000,9.10653,474.56601,394.08450,0.01469
107.00000,9.11477,474.79520,394.27481,0.01470
107.10000,9.12323,475.26532,394.66522,0.01471
107.20000,9.13162,475.73346,395.05396,0.01473
107.30000,9.13978,476.03333,395.30298,0.01474
107.40000,9.14815,476.34802,395.56430,0.01475
107.50000,9.15650,476.68829,395.84686,0.01477
107.60000,9.16481,477.24567,396.30972,0.01478
107.70000,9.17321,477.41934,396.45395,0.01479
107.80000,9.18150,477.73221,396.71375,0.01481
107.90000,9.18983,478.32022,397.20203,0.01482
108.00000,9.19822,478.23959,397.13507,0.01483
108.10000,9.20650,479.00513,397.77078,0.01485
108.20000,9.21484,479.31320,398.02661,0.01486
108.30000,9.22319,479.36099,398.06631,0.01488
108.40000,9.23143,480.05676,398.64407,0.01489
108.50000,9.23983,480.17053,398.73856,0.01490
108.60000,9.24823,480.76706,399.23392,0.01492
108.70000,9.25649,481.14633,399.54886,0.01493
108.80000,9.26490,481.65060,399.96762,0.01494
108.90000,9.27320,481.75006,400.05020,0.01496
109.00000,9.28144,481.97641,400.23816,0.01497
109.10000,9.28986,482.43402,400.61816,0.01498
109.20000,9.29818,482.89450,401.00058,0.01500
109.30000,9.30640,483.16299,401.22351,0.01501
109.40000,9.31484,483.97052,401.89410,0.01502
109.50000,9.32324,483.83597,401.78238,0.01504
109.60000,9.33156,484.27286,402.14517,0.01505
109.70000,9.33986,484.49234,402.32742,0.01506
109.80000,9.34818,485.25662,402.96210,0.01508
109.90000,9.35652,485.39563,403.07751,0.01509
110.00000,9.36482,485.98068,403.56335,0.01510
110.10000,9.37316,486.25385,403.79019,0.01512
110.20000,9.38145,486.62003,404.09427,0.01513
110.30000,9.38985,486.83759,404.27493,0.01514
110.40000,9.39822,487.18414,404.56271,0.01516
110.50000,9.40653,487.68478,404.97845,0.01517
110.60000,9.41490,487.93790,405.18866,0.01518
110.70000,9.42321,488.15515,405.36905,0.01520
110.80000,9.43147,488.46921,405.62985,0.01521
110.90000,9.43977,489.12494,406.17438,0.01522
111.00000,9.44814,489.52530,406.50684,0.01524
111.10000,9.45648,489.78323,406.72104,0.01525
111.20000,9.46485,489.91034,406.82660,0.01526
111.30000,9.47318,490.37128,407.20935,0.01528
111.40000,9.48156,490.93332,407.67609,0.01529
111.50000,9.48993,491.42975,408.08832,0.01531
111.60000,9.49816,491.36639,408.03571,0.01532
111.70000,9.50646,491.80884,408.40314,0.01533
111.80000,9.51479,492.08957,408.63623,0.01535
111.90000,9.52314,492.72287,409.16214,0.01536
112.00000,9.53150,493.05157,409.43509,0.01537
112.10000,9.53984,493.24319,409.59424,0.01539
112.20000,9.54819,493.80496,410.06073,0.01540
112.30000,9.55657,494.09528,410.30182,0.01541
112.40000,9.56492,494.44168,410.58948,0.01543
112.50000,9.57316,494.45511,410.60062,0.01544
112.60000,9.58148,495.14359,411.17233,0.01545
112.70000,9.58980,495.37656,411.36578,0.01547
112.80000,9.59810,495.87137,411.77670,0.01548
112.90000,9.60648,496.06882,411.94064,0.01549
113.00000,9.61486,496.54510,412.33618,0.01551
113.10000,9.62322,496.84027,412.58127,0.01552
113.20000,9.63154,497.34915,413.00385,0.01553
113.30000,9.63983,497.61096,413.22125,0.01555
113.40000,9.64821,498.04633,413.58279,0.01556
113.50000,9.65650,498.42966,413.90112,0.01557
113.60000,9.66475,498.73318,414.15317,0.01559
113.70000,9.67312,499.18176,414.52567,0.01560
113.80000,9.68151,499.37384,414.68518,0.01561
113.90000,9.68986,499.68054,414.93988,0.01563
114.00000,9.69821,500.15231,415.33163,0.01564
114.10000,9.70652,500.20496,415.37534,0.01565
114.20000,9.71487,500.88553,415.94049,0.01567
114.30000,9.72321,501.26611,416.25653,0.01568
114.40000,9.73150,501.28647,416.27344,0.01569
114.50000,9.73977,501.69205,416.61023,0.01571
114.60000,9.74818,502.16461,417.00266,0.01572
114.70000,9.75649,502.53754,417.31235,0.01574
114.80000,9.76487,502.85010,417.57190,0.01575
114.90000,9.77324,503.08630,417.76804,0.01576
115.00000,9.78153,503.37030,418.00388,0.01578
115.10000,9.78988,503.86142,418.41171,0.01579
115.20000,9.79819,504.57681,419.00577,0.01580
115.30000,9.80647,504.78934,419.18225,0.01582
115.40000,9.81485,505.26147,419.57434,0.01583
115.50000,9.82319,505.56747,419.82843,0.01584
115.60000,9.83144,505.97995,420.17096,0.01586
115.70000,9.83988,506.02747,420.21042,0.01587
115.80000,9.84829,506.61679,420.69980,0.01588
115.90000,9.85649,506.93115,420.96085,0.01590
116.00000,9.86485,507.35339,421.31149,0.01591
116.10000,9.87317,507.58466,421.50351,0.01592
116.20000,9.88149,508.13663,421.96188,0.01594
116.30000,9.88985,508.06769,421.90463,0.01595
116.40000,9.89814,508.41965,422.19690,0.01596
116.50000,9.90647,509.04843,422.71906,0.01598
116.60000,9.91490,509.21841,422.86020,0.01599
116.70000,9.92322,509.53818,423.12576,0.01600
116.80000,9.93150,509.91098,423.43533,0.01602
116.90000,9.93986,510.45926,423.89062,0.01603
117.00000,9.94813,510.52756,423.94733,0.01604
117.10000,9.95648,511.32172,424.60681,0.01606
117.20000,9.96481,511.36884,424.64594,0.01607
117.30000,9.97318,511.74631,424.95941,0.01608
117.40000,9.98155,511.99170,425.16318,0.01610
117.50000,9.98985,512.41803,425.51721,0.01611
117.60000,9.99820,512.78656,425.82324,0.01613
117.70000,10.00651,513.36273,426.30170,0.01614
117.80000,10.01486,513.73456,426.61047,0.01615
117.90000,10.02314,513.92969,426.77249,0.01617
118.00000,10.03145,514.35516,427.12582,0.01618
118.10000,10.03985,514.46576,427.21765,0.01619
118.20000,10.04822,515.10321,427.74701,0.01621
118.30000,10.05653,515.26062,427.87772,0.01622
118.40000,10.06486,515.84735,428.36496,0.01623
118.50000,10.07318,515.97546,428.47134,0.01625
118.60000,10.08151,516.51898,428.92267,0.01626
118.70000,10.08984,516.55688,428.95416,0.01627
118.80000,10.09811,516.85663,429.20306,0.01629
118.90000,10.10647,517.51385,429.74884,0.01630
119.00000,10.11488,517.90930,430.07721,0.01631
119.10000,10.12317,518.12170,430.25360,0.01633
119.20000,10.13154,518.33405,430.42993,0.01634
119.30000,10.13990,518.60291,430.65320,0.01635
119.40000,10.14816,519.13898,431.09836,0.01637
119.50000,10.15646,519.46747,431.37112,0.01638
119.60000,10.16483,519.79578,431.64377,0.01639
119.70000,10.17313,520.27594,432.04251,0.01641
119.80000,10.18150,520.72552,432.41583,0.01642
119.90000,10.18982,520.88666,432.54965,0.01643
120.00000,10.19819,521.19049,432.80194,0.01645
120.10000,10.20660,521.65839,433.19049,0.01646
120.20000,10.21490,522.13837,433.58908,0.01647
120.30000,10.22315,522.08838,433.54758,0.01649
120.40000,10.23146,522.65656,434.01938,0.01650
120.50000,10.23983,522.75201,434.09866,0.01651
120.60000,10.24816,523.36249,434.60559,0.01653
120.70000,10.25647,523.68622,434.87442,0.01654
120.80000,10.26481,524.05627,435.18173,0.01656
120.90000,10.27323,524.34009,435.41742,0.01657
121.00000,10.28160,524.47534,435.52972,0.01658
121.10000,10.28985,524.94171,435.91699,0.01660
121.20000,10.29818,525.50189,436.38217,0.01661
121.30000,10.30647,525.77393,436.60809,0.01662
121.40000,10.31479,525.86066,436.68011,0.01664
121.50000,10.32314,526.62079,437.31131,0.01665
121.60000,10.33150,527.02185,437.64438,0.01666
121.70000,10.33988,527.44293,437.99405,0.01668
121.80000,10.34823,527.58386,438.11108,0.01669
121.90000,10.35653,527.89691,438.37103,0.01670
122.00000,10.36488,528.30151,438.70703,0.01672
122.10000,10.37321,528.47394,438.85019,0.01673
122.20000,10.38145,528.78241,439.10635,0.01674
122.30000,10.38976,529.17908,439.43576,0.01676
122.40000,10.39815,529.73804,439.89993,0.01677
122.50000,10.40651,529.73169,439.89465,0.01678
122.60000,10.41488,530.26636,440.33865,0.01680
122.70000,10.42321,530.30444,440.37027,0.01681
122.80000,10.43155,531.15430,441.07599,0.01682
122.90000,10.43990,530.95312,440.90894,0.01684
123.00000,10.44819,531.37708,441.26099,0.01685
123.10000,10.45645,531.69153,441.52213,0.01686
123.20000,10.46480,531.99951,441.77786,0.01688
123.30000,10.47317,532.54230,442.22861,0.01689
123.40000,10.48150,533.04077,442.64255,0.01690
123.50000,10.48988,533.22424,442.79489,0.01692
123.60000,10.49821,533.94293,443.39169,0.01693
123.70000,10.50654,533.80481,443.27701,0.01694
123.80000,10.51485,534.50983,443.86246,0.01696
123.90000,10.52317,534.54785,443.89404,0.01697
124.00000,10.53147,534.88525,444.17422,0.01699
124.10000,10.53982,535.48730,444.67416,0.01700
124.20000,10.54814,535.59314,444.76205,0.01701
124.30000,10.55650,536.07050,445.15845,0.01703
124.40000,10.56490,536.07257,445.16019,0.01704
124.50000,10.57321,536.97308,445.90799,0.01705
124.60000,10.58151,536.98541,445.91821,0.01707
124.70000,10.58983,537.33832,446.21127,0.01708
124.80000,10.59818,537.53345,446.37332,0.01709
124.90000,10.60651,537.83057,446.62003,0.01711
125.00000,10.61480,538.45428,447.13797,0.01712
125.10000,10.62312,538.77509,447.40439,0.01713
125.20000,10.63151,538.87128,447.48425,0.01715
125.30000,10.63990,539.22681,447.77948,0.01716
125.40000,10.64819,539.70789,448.17899,0.01717
125.50000,10.65650,539.82190,448.27365,0.01719
125.60000,10.66485,540.28101,448.65491,0.01720
125.70000,10.67315,541.01105,449.26114,0.01721
125.80000,10.68146,541.20087,449.41876,0.01723
125.90000,10.68986,541.48273,449.65283,0.01724
126.00000,10.69818,541.75153,449.87604,0.01725
126.10000,10.70651,542.15387,450.21014,0.01727
126.20000,10.71488,542.66174,450.63190,0.01728
126.30000,10.72318,542.87396,450.80814,0.01729
126.40000,10.73154,543.20068,451.07944,0.01731
126.50000,10.73985,543.53149,451.35416,0.01732
126.60000,10.74811,543.61938,451.42712,0.01733
126.70000,10.75647,544.03821,451.77493,0.01735
126.80000,10.76489,544.49481,452.15408,0.01736
126.90000,10.77317,544.95056,452.53256,0.01737
127.00000,10.78151,545.30023,452.82294,0.01739
127.10000,10.78985,545.52124,453.00644,0.01740
127.20000,10.79819,545.75684,453.20209,0.01742
127.30000,10.80654,546.31433,453.66504,0.01743
127.40000,10.81478,546.50208,453.82095,0.01744
127.50000,10.82312,547.03662,454.26483,0.01746
127.60000,10.83153,546.92181,454.16949,0.01747
127.70000,10.83984,547.73517,454.84491,0.01748
127.80000,10.84818,547.81744,454.91324,0.01750
127.90000,10.85655,548.10657,455.15335,0.01751
128.00000,10.86484,548.66083,455.61359,0.01752
128.10000,10.87317,548.76569,455.70068,0.01754
128.20000,10.88147,549.32947,456.16885,0.01755
128.30000,10.88980,549.67279,456.45395,0.01756
128.40000,10.89816,549.87476,456.62167,0.01758
128.50000,10.90645,550.12042,456.82565,0.01759
128.60000,10.91483,550.55310,457.18497,0.01760
128.70000,10.92326,550.87610,457.45319,0.01762
128.80000,10.93155,551.33783,457.83661,0.01763
128.90000,10.93985,551.56140,458.02228,0.01764
129.00000,10.94817,552.01178,458.39627,0.01766
129.10000,10.95644,552.31708,458.64978,0.01767
129.20000,10.96484,552.46552,458.77304,0.01768
129.30000,10.97315,553.11841,459.31522,0.01770
129.40000,10.98142,553.44757,459.58856,0.01771
129.50000,10.98990,553.16791,459.35632,0.01772
129.60000,10.99827,553.90942,459.97208,0.01774
129.70000,11.00656,554.60370,460.54861,0.01775
129.80000,11.01486,554.54602,460.50073,0.01776
129.90000,11.02316,555.09235,460.95441,0.01778
130.00000,11.03148,555.01581,460.89084,0.01779
130.10000,11.03979,555.63013,461.40097,0.01780
130.20000,11.04811,555.86938,461.59967,0.01782
130.30000,11.05651,556.63794,462.23788,0.01783
130.40000,11.06489,556.59167,462.19946,0.01785
130.50000,11.07321,556.62103,462.22385,0.01786
130.60000,11.08156,557.04834,462.57867,0.01787
130.70000,11.08990,557.67078,463.09555,0.01789
130.80000,11.09814,558.04352,463.40509,0.01790
130.90000,11.10645,558.22021,463.55182,0.01791
131.00000,11.11476,558.56201,463.83563,0.01793
131.10000,11.12316,558.84589,464.07138,0.01794
131.20000,11.13151,559.16852,464.33929,0.01795
131.30000,11.13985,559.73431,464.80914,0.01797
131.40000,11.14820,559.95813,464.99500,0.01798
131.50000,11.15657,560.33472,465.30771,0.01799
131.60000,11.16491,560.73114,465.63690,0.01801
131.70000,11.17311,560.88739,465.76666,0.01802
131.80000,11.18146,561.06464,465.91385,0.01803
131.90000,11.18981,561.73413,466.46982,0.01805
132.00000,11.19814,561.66821,466.41507,0.01806
132.10000,11.20651,562.34863,466.98010,0.01807
132.20000,11.21487,562.60742,467.19501,0.01809
132.30000,11.22323,563.14252,467.63934,0.01810
132.40000,11.23156,563.16534,467.65829,0.01811
132.50000,11.23989,563.61316,468.03018,0.01813
132.60000,11.24812,563.98584,468.33966,0.01814
132.70000,11.25651,564.12756,468.45734,0.01815
132.80000,11.26480,564.55774,468.81454,0.01817
132.90000,11.27312,564.83667,469.04617,0.01818
133.00000,11.28152,565.50385,469.60022,0.01819
133.10000,11.28989,565.54382,469.63342,0.01821
133.20000,11.29822,566.05548,470.05829,0.01822
133.30000,11.30652,566.28589,470.24963,0.01824
133.40000,11.31485,566.52203,470.44574,0.01825
133.50000,11.32319,566.91565,470.77258,0.01826
133.60000,11.33148,567.22174,471.02676,0.01828
133.70000,11.33975,567.33411,471.12009,0.01829
133.80000,11.34813,568.07715,471.73712,0.01830
133.90000,11.35655,568.21350,471.85034,0.01832
134.00000,11.36489,568.31317,471.93311,0.01833
134.10000,11.37319,568.60315,472.17392,0.01834
134.20000,11.38152,569.35876,472.80139,0.01836
134.30000,11.38985,569.48389,472.90527,0.01837
134.40000,11.39817,569.76410,473.13797,0.01838
134.50000,11.40647,569.98706,473.32312,0.01840
134.60000,11.41480,570.29803,473.58136,0.01841
134.70000,11.42318,570.69977,473.91498,0.01842
134.80000,11.43150,570.94775,474.12088,0.01844
134.90000,11.43986,571.32709,474.43588,0.01845
135.00000,11.44824,571.95709,474.95905,0.01846
135.10000,11.45652,572.08337,475.06393,0.01848
135.20000,11.46481,572.52740,475.43265,0.01849
135.30000,11.47314,572.46234,475.37863,0.01850
135.40000,11.48148,572.88257,475.72757,0.01852
135.50000,11.48983,573.45709,476.20468,0.01853
135.60000,11.49819,573.57336,476.30124,0.01854
135.70000,11.50647,573.83105,476.51523,0.01856
135.80000,11.51488,574.62512,477.17462,0.01857
135.90000,11.52327,574.80743,477.32602,0.01858
136.00000,11.53147,575.09302,477.56317,0.01860
136.10000,11.53982,574.95728,477.45044,0.01861
136.20000,11.54817,575.41492,477.83047,0.01862
136.30000,11.55650,575.92194,478.25150,0.01864
136.40000,11.56486,576.09467,478.39493,0.01865
136.50000,11.57316,576.57361,478.79266,0.01867
136.60000,11.58153,576.82123,478.99829,0.01868
136.70000,11.58989,577.35559,479.44202,0.01869
136.80000,11.59815,577.76105,479.77872,0.01871
136.90000,11.60649,577.69244,479.72174,0.01872
137.00000,11.61486,578.41370,480.32068,0.01873
137.10000,11.62311,578.48499,480.37988,0.01875
137.20000,11.63150,578.89551,480.72079,0.01876
137.30000,11.63991,579.16022,480.94061,0.01877
137.40000,11.64816,579.54224,481.25784,0.01879
137.50000,11.65657,579.77319,481.44962,0.01880
137.60000,11.66486,580.43799,482.00168,0.01881
137.70000,11.67312,580.38971,481.96158,0.01883
137.80000,11.68153,581.11108,482.56064,0.01884
137.90000,11.68984,581.09528,482.54749,0.01885
138.00000,11.69808,581.46222,482.85220,0.01887
138.10000,11.70651,581.84119,483.16690,0.01888
138.20000,11.71492,581.95850,483.26431,0.01889
138.30000,11.72324,582.61780,483.81183,0.01891
138.40000,11.73153,582.63037,483.82227,0.01892
138.50000,11.73984,582.74762,483.91962,0.01893
138.60000,11.74817,583.11584,484.22540,0.01895
138.70000,11.75649,583.48700,484.53360,0.01896
138.80000,11.76480,584.28052,485.19257,0.01897
138.90000,11.77313,584.38672,485.28076,0.01899
139.00000,11.78151,584.40338,485.29459,0.01900
139.10000,11.78988,584.84692,485.66290,0.01901
139.20000,11.79822,584.96295,485.75925,0.01903
139.30000,11.80657,585.49084,486.19763,0.01904
139.40000,11.81486,586.20490,486.79059,0.01906
139.50000,11.82314,586.20752,486.79276,0.01907
139.60000,11.83146,586.36462,486.92322,0.01908
139.70000,11.83981,586.89941,487.36731,0.01910
139.80000,11.84816,587.20593,487.62186,0.01911
139.90000,11.85652,587.41852,487.79837,0.01912
140.00000,11.86484,588.08405,488.35104,0.01914
140.10000,11.87323,587.87402,488.17664,0.01915
140.20000,11.88159,588.63397,488.80771,0.01916
140.30000,11.88982,588.72302,488.88165,0.01918
140.40000,11.89813,589.07312,489.17239,0.01919
140.50000,11.90648,589.18494,489.26523,0.01920
140.60000,11.91480,589.74176,489.72763,0.01922
140.70000,11.92316,590.00543,489.94659,0.01923
140.80000,11.93151,590.06140,489.99307,0.01924
140.90000,11.93986,590.65601,490.48682,0.01926
141.00000,11.94825,590.63519,490.46954,0.01927
141.10000,11.95655,591.38190,491.08963,0.01928
141.20000,11.96483,591.51270,491.19824,0.01930
141.30000,11.97318,591.94208,491.55481,0.01931
141.40000,11.98145,592.23822,491.80072,0.01932
141.50000,11.98979,592.46179,491.98636,0.01934
141.60000,11.99816,592.86279,492.31937,0.01935
141.70000,12.00651,593.15857,492.56497,0.01936
141.80000,12.01490,593.70612,493.01968,0.01938
141.90000,12.02322,593.72980,493.03934,0.01939
142.00000,12.03150,594.11395,493.35834,0.01940
142.10000,12.03988,594.36444,493.56635,0.01942
142.20000,12.04817,594.56696,493.73453,0.01943
142.30000,12.05640,594.83740,493.95911,0.01944
142.40000,12.06479,595.55042,494.55121,0.01946
142.50000,12.07320,595.75397,494.72021,0.01947
142.60000,12.08152,596.04474,494.96170,0.01949
142.70000,12.08988,596.25476,495.13608,0.01950
142.80000,12.09816,596.50323,495.34244,0.01951
142.90000,12.10653,596.97058,495.73053,0.01953
143.00000,12.11489,597.37445,496.06589,0.01954
143.10000,12.12313,597.55573,496.21643,0.01955
143.20000,12.13144,597.81409,496.43097,0.01957
143.30000,12.13985,598.39606,496.91425,0.01958
143.40000,12.14815,598.72479,497.18723,0.01959
143.50000,12.15654,598.58533,497.07141,0.01961
143.60000,12.16492,599.06030,497.46585,0.01962
143.70000,12.17319,599.40631,497.75317,0.01963
143.80000,12.18152,599.75366,498.04163,0.01965
143.90000,12.18983,600.04010,498.27948,0.01966
144.00000,12.19812,600.48273,498.64703,0.01967
144.10000,12.20652,600.93378,499.02161,0.01969
144.20000,12.21486,601.05444,499.12180,0.01970
144.30000,12.22310,601.24811,499.28262,0.01971
144.40000,12.23155,601.83575,499.77060,0.01973
144.50000,12.23994,602.15277,500.03387,0.01974
144.60000,12.24814,602.04388,499.94345,0.01975
144.70000,12.25651,602.39990,500.23907,0.01977
144.80000,12.26485,602.80872,500.57855,0.01978
144.90000,12.27315,603.13983,500.85352,0.01979
145.00000,12.28152,603.79468,501.39731,0.01981
145.10000,12.28981,603.86725,501.45758,0.01982
145.20000,12.29814,604.22675,501.75610,0.01983
145.30000,12.30658,604.48291,501.96884,0.01985
145.40000,12.31486,604.76056,502.19940,0.01986
145.50000,12.32317,604.98438,502.38525,0.01987
145.60000,12.33152,605.66351,502.94922,0.01989
145.70000,12.33979,605.78033,503.04623,0.01990
145.80000,12.34816,605.96521,503.19974,0.01992
145.90000,12.35650,606.10260,503.31384,0.01993
146.00000,12.36485,606.53394,503.67203,0.01994
146.10000,12.37322,606.80292,503.89539,0.01996
146.20000,12.38153,607.31995,504.32474,0.01997
146.30000,12.38983,607.59534,504.55344,0.01998
146.40000,12.39820,607.85797,504.77151,0.02000
146.50000,12.40653,608.25891,505.10446,0.02001
146.60000,12.41479,608.64661,505.42642,0.02002
146.70000,12.42314,608.65796,505.43582,0.02004
146.80000,12.43152,609.08527,505.79068,0.02005
146.90000,12.43989,609.30457,505.97278,0.02006
147.00000,12.44818,609.81470,506.39639,0.02008
147.10000,12.45652,610.02264,506.56909,0.02009
147.20000,12.46487,610.38379,506.86899,0.02010
147.30000,12.47317,610.59467,507.04410,0.02012
147.40000,12.48153,611.01691,507.39474,0.02013
147.50000,12.48976,611.21844,507.56210,0.02014
147.60000,12.49814,611.42969,507.73752,0.02016
147.70000,12.50655,611.98315,508.19711,0.02017
147.80000,12.51486,612.02917,508.23532,0.02018
147.90000,12.52322,612.46185,508.59464,0.02020
148.00000,12.53156,612.72040,508.80933,0.02021
148.10000,12.53984,613.02332,509.06088,0.02022
148.20000,12.54814,613.50287,509.45911,0.02024
148.30000,12.55648,613.89496,509.78470,0.02025
148.40000,12.56480,613.80231,509.70776,0.02026
148.50000,12.57317,614.32489,510.14172,0.02028
148.60000,12.58149,614.77069,510.51190,0.02029
148.70000,12.58985,614.89062,510.61151,0.02030
148.80000,12.59828,615.44098,511.06851,0.02032
148.90000,12.60653,615.26581,510.92307,0.02033
149.00000,12.61483,615.69653,511.28073,0.02035
149.10000,12.62313,615.96490,511.50360,0.02036
149.20000,12.63146,616.33167,511.80817,0.02037
149.30000,12.63983,616.85901,512.24609,0.02039
149.40000,12.64814,617.15009,512.48779,0.02040
149.50000,12.65648,617.62396,512.88129,0.02041
